parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
岩性,坚硬,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
岩性,坚硬,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
岩性,软弱,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
岩性,软弱,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
岩性,软弱,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地表粗糙度,小,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地表粗糙度,小,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
滑坡历史密度,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
滑坡历史密度,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
滑坡历史密度,低,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
滑坡历史密度,低,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
节理发育程度,很发育,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
滑坡历史密度,低,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
滑坡历史密度,高,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
滑坡历史密度,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
风化程度,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
风化程度,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
风化程度,弱,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
风化程度,弱,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
节理发育程度,不发育,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
节理发育程度,发育,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
节理发育程度,不发育,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
节理发育程度,不发育,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
节理发育程度,发育,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
节理发育程度,发育,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
风化程度,强,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
风化程度,强,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
滑坡历史密度,高,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
滑坡历史密度,高,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
风化程度,强,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
风化程度,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
气温,适温,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
气温,适温,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
气温,适温,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
降水强度,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
