ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
29869,1238,159.75,102.0070038,0.510134,0.280881,0,1683,4.5265598,1352.380005,1356.199951,1003.119995,60.2793999,0.705466,90.754303,0,0,0,30.2514,96.6009979,90.754303,50.1971016,0,0,0,0,0,#N/A,,
29870,1501,157.4600067,100.987999,1.67897,0.627999,0,647,2.1356299,1353,1354.089966,1003.130005,60.3003998,0.646011,90.2405014,0,0,0,30.0802002,97.0689011,90.2405014,50.2215996,0,0,0,0,0,#N/A,,
29871,767,0.161765,98.5,0,0.0005643,0,980,0,1353.630005,1351.979981,1003.150024,60.3213005,0.620637,89.726799,0,0,0,29.9088993,97.5369034,89.726799,50.2461014,0,0,0,0,0,#N/A,,
29872,2,-1,98.5,0,0,0,65,0,1354.300049,1349.76001,1003.210022,60.339901,0.631667,89.2130966,0,0,0,29.7376995,98.0047989,89.2130966,50.2705002,0,0,0,0,0,#N/A,,
29873,3,-1,98.5,0,0,0,1178,0,1354.979981,1347.550049,1003.27002,60.3585014,0.635008,88.6993027,0,0,0,29.5664005,98.4728012,88.6993027,50.2949982,0,0,0,0,0,#N/A,,
29874,269,115.0599976,137.8059998,0.403984,0.210673,1298,0,12.4940996,1341,1387.599976,999.0109863,60.1716003,1.58538,105.2450027,0,0,0,28.2882004,90.4395981,105.2450027,50.9803009,0,0,0,0,0,#N/A,,
29875,326,131.2310028,138.3990021,0.583775,0.241026,718,0,13.2207003,1341.439941,1386.040039,998.84198,60.2018013,1.26271,103.0309982,0,0,0,28.8568993,91.1026001,103.0309982,50.8022995,0,0,0,0,0,#N/A,,
29876,129,143.5630035,140.0350037,0.930329,0.432291,1163,0,12.4982004,1341.699951,1384.800049,998.5040283,60.2378006,1.31262,100.8170013,0,0,0,29.4256001,91.7655029,100.8170013,50.6244011,0,0,0,0,0,#N/A,,
29877,1647,132.5130005,136.0240021,7.6171598,5.4051399,2190,135,14.9699001,1341.930054,1383.619995,998.1439819,60.274601,1.5771199,98.6029968,0,0,0,29.9944,92.4284973,98.6029968,50.4463997,0,0,0,0,0,#N/A,,
29878,352,155.7700043,144.1529999,2.8990099,1.27942,2027,1,18.6469994,1341.880005,1382.949951,997.5300293,60.3200989,1.6554199,96.3889008,0,0,0,30.5631008,93.0914993,96.3889008,50.2685013,0,0,0,0,0,#N/A,,
29879,368,132.3300018,147.7969971,1.80532,0.806766,1352,0,17.3402004,1341.920044,1382.109985,996.9949951,60.3628006,1.46735,94.1747971,0,0,0,31.1317997,93.7545013,94.1747971,50.0904999,0,0,0,0,0,#N/A,,
29880,211,141.5070038,154.9620056,3.96332,1.63578,971,0,10.4123001,1342.969971,1379.199951,997.3900146,60.3717995,1.17755,93.322998,0,0,0,31.1077003,94.2612,93.322998,50.0746994,0,0,0,0,0,#N/A,,
29881,165,138.1080017,167.0350037,6.4415898,2.7974401,401,0,4.9643602,1343.920044,1376.5,997.684021,60.3843994,1.0348099,92.8091965,0,0,0,30.9363995,94.7292023,92.8091965,50.0992012,0,0,0,0,0,#N/A,,
29882,992,110.8460007,138.0149994,10.8263998,6.2372699,1424,0,2.4133501,1334.819946,1404.089966,998.0620117,60.0102997,1.51638,119.3330002,0,0,0,25.2084007,84.024498,119.3330002,51.5881004,0,0,0,0,0,#N/A,,
29883,1441,92.7324982,129.1159973,13.9525995,5.6894002,1071,0,4.4598198,1336,1401.380005,998.5430298,60.017601,1.61314,118.2519989,0,0,0,25.3176003,85.0348969,118.2519989,51.6651993,0,0,0,0,0,#N/A,,
29884,4768,116.0439987,113.7249985,7.2493401,3.4157801,1115,0,4.1448398,1337.51001,1397.920044,999.3330078,60.0139008,1.59926,117.1709976,0,0,0,25.4269009,86.0451965,117.1709976,51.7422981,0,0,0,0,0,#N/A,,
29885,4976,160.2980042,108.862999,0.692087,0.389564,0,0,0,1338.959961,1394.579956,1000.059998,60.0124016,1.60107,116.0899963,0,0,0,25.5361004,87.055603,116.0899963,51.8194008,0,0,0,0,0,#N/A,,
29886,555,200.1199951,118.8949966,11.1183004,3.9261301,1101,0,6.0528798,1339.569946,1392.839966,1000.030029,60.037899,1.8513,114.1009979,0,0,0,26.0133991,87.7876968,114.1009979,51.6921005,0,0,0,0,0,#N/A,,
29887,104,188.121994,138.875,2.24406,1.45415,2060,0,16.7444992,1340.150024,1391.160034,999.9719849,60.0643997,2.29023,111.887001,0,0,0,26.5820999,88.4505997,111.887001,51.5141983,0,0,0,0,1,#N/A,Y,1
29888,275,135.3670044,138.4589996,0.756013,0.4955,820,0,10.3439999,1340.329956,1390.189941,999.559021,60.1035004,2.5390501,109.6729965,0,0,0,27.1508007,89.1136017,109.6729965,51.3362007,0,0,0,0,0,#N/A,,
29889,803,149.1959991,137.4750061,0.504241,0.300557,525,0,9.1045198,1340.530029,1389.180054,999.1660156,60.1418991,2.2035301,107.4589996,0,0,0,27.7194996,89.7766037,107.4589996,51.1581993,0,0,0,0,0,#N/A,,
